Point { x: 655, y: 930 }
Point { x: 461, y: 461 }
Point { x: 699, y: 930 }
Point { x: 152, y: 506 }
Point { x: 863, y: 523 }
Point { x: 335, y: 603 }
Point { x: 542, y: 787 }
Point { x: 277, y: 930 }
Point { x: 668, y: 930 }
Point { x: 436, y: 417 }
Point { x: 242, y: 333 }
Point { x: 296, y: 690 }
Point { x: 863, y: 521 }
Point { x: 863, y: 612 }
Point { x: 290, y: 816 }
Point { x: 863, y: 639 }
Point { x: 260, y: 930 }
Point { x: 536, y: 699 }
Point { x: 863, y: 557 }
Point { x: 863, y: 664 }
Point { x: 681, y: 550 }
Point { x: 709, y: 673 }
Point { x: 863, y: 793 }
Point { x: 401, y: 768 }
Point { x: 582, y: 736 }
Point { x: 863, y: 566 }
Point { x: 290, y: 794 }
Point { x: 659, y: 930 }
Point { x: 79, y: 533 }
Point { x: 789, y: 247 }
Point { x: 789, y: 408 }
Point { x: 449, y: 930 }
Point { x: 789, y: 961 }
Point { x: 262, y: 743 }
Point { x: 692, y: 930 }
Point { x: 436, y: 474 }
Point { x: 152, y: 242 }
Point { x: 863, y: 750 }
Point { x: 774, y: 217 }
Point { x: 350, y: 862 }
Point { x: 863, y: 388 }
Point { x: 438, y: 549 }
Point { x: 259, y: 930 }
Point { x: 789, y: 289 }
Point { x: 863, y: 830 }
Point { x: 337, y: 254 }
Point { x: 269, y: 930 }
Point { x: 527, y: 526 }
Point { x: 674, y: 583 }
Point { x: 508, y: 175 }
Point { x: 259, y: 816 }
Point { x: 259, y: 736 }
Point { x: 863, y: 480 }
Point { x: 863, y: 638 }
Point { x: 468, y: 667 }
Point { x: 527, y: 213 }
Point { x: 517, y: 417 }
Point { x: 417, y: 930 }
Point { x: 290, y: 691 }
Point { x: 707, y: 550 }
Point { x: 789, y: 271 }
Point { x: 393, y: 930 }
Point { x: 863, y: 400 }
Point { x: 863, y: 599 }
Point { x: 762, y: 961 }
Point { x: 468, y: 712 }
Point { x: 392, y: 526 }
Point { x: 863, y: 561 }
Point { x: 461, y: 383 }
Point { x: 468, y: 761 }
Point { x: 542, y: 714 }
Point { x: 532, y: 683 }
Point { x: 244, y: 549 }
Point { x: 681, y: 369 }
Point { x: 468, y: 694 }
Point { x: 468, y: 548 }
Point { x: 468, y: 879 }
Point { x: 546, y: 304 }
Point { x: 719, y: 961 }
Point { x: 515, y: 366 }
Point { x: 468, y: 417 }
Point { x: 115, y: 789 }
Point { x: 389, y: 294 }
Point { x: 221, y: 697 }
Point { x: 196, y: 549 }
Point { x: 640, y: 474 }
Point { x: 534, y: 383 }
Point { x: 652, y: 103 }
Point { x: 296, y: 673 }
Point { x: 275, y: 583 }
Point { x: 301, y: 699 }
Point { x: 561, y: 459 }
Point { x: 463, y: 335 }
Point { x: 323, y: 602 }
Point { x: 789, y: 352 }
Point { x: 468, y: 550 }
Point { x: 511, y: 335 }
Point { x: 604, y: 930 }
Point { x: 576, y: 304 }
Point { x: 389, y: 583 }
Point { x: 301, y: 691 }
Point { x: 865, y: 304 }
Point { x: 789, y: 502 }
Point { x: 693, y: 673 }
Point { x: 582, y: 787 }
Point { x: 196, y: 310 }
Point { x: 863, y: 713 }
Point { x: 685, y: 930 }
Point { x: 709, y: 583 }
Point { x: 711, y: 741 }
Point { x: 789, y: 492 }
Point { x: 924, y: 798 }
Point { x: 225, y: 890 }
Point { x: 863, y: 832 }
Point { x: 925, y: 714 }
Point { x: 414, y: 417 }
Point { x: 319, y: 930 }
Point { x: 353, y: 198 }
Point { x: 242, y: 549 }
Point { x: 517, y: 699 }
Point { x: 439, y: 930 }
Point { x: 789, y: 453 }
Point { x: 879, y: 836 }
Point { x: 436, y: 699 }
Point { x: 865, y: 673 }
Point { x: 863, y: 650 }
Point { x: 602, y: 930 }
Point { x: 337, y: 741 }
Point { x: 57, y: 293 }
Point { x: 700, y: 961 }
Point { x: 613, y: 768 }
Point { x: 579, y: 383 }
Point { x: 517, y: 742 }
Point { x: 296, y: 598 }
Point { x: 517, y: 714 }
Point { x: 582, y: 768 }
Point { x: 389, y: 598 }
Point { x: 582, y: 549 }
Point { x: 789, y: 509 }
Point { x: 332, y: 930 }
Point { x: 281, y: 201 }
Point { x: 250, y: 242 }
Point { x: 867, y: 673 }
Point { x: 433, y: 930 }
Point { x: 438, y: 292 }
Point { x: 536, y: 790 }
Point { x: 618, y: 474 }
Point { x: 325, y: 533 }
Point { x: 709, y: 745 }
Point { x: 468, y: 588 }
Point { x: 726, y: 930 }
Point { x: 508, y: 550 }
Point { x: 298, y: 598 }
Point { x: 194, y: 109 }
Point { x: 275, y: 930 }
Point { x: 77, y: 242 }
Point { x: 468, y: 558 }
Point { x: 789, y: 178 }
Point { x: 697, y: 930 }
Point { x: 235, y: 533 }
Point { x: 687, y: 862 }
Point { x: 192, y: 533 }
Point { x: 242, y: 690 }
Point { x: 462, y: 335 }
Point { x: 468, y: 335 }
Point { x: 789, y: 470 }
Point { x: 753, y: 417 }
Point { x: 863, y: 621 }
Point { x: 133, y: 506 }
Point { x: 188, y: 370 }
Point { x: 598, y: 383 }
Point { x: 353, y: 201 }
Point { x: 547, y: 383 }
Point { x: 863, y: 692 }
Point { x: 244, y: 533 }
Point { x: 536, y: 526 }
Point { x: 816, y: 714 }
Point { x: 707, y: 489 }
Point { x: 468, y: 621 }
Point { x: 709, y: 741 }
Point { x: 152, y: 310 }
Point { x: 468, y: 565 }
Point { x: 335, y: 335 }
Point { x: 214, y: 109 }
Point { x: 863, y: 672 }
Point { x: 436, y: 366 }
Point { x: 310, y: 930 }
Point { x: 878, y: 798 }
Point { x: 863, y: 647 }
Point { x: 449, y: 335 }
Point { x: 863, y: 766 }
Point { x: 385, y: 335 }
Point { x: 457, y: 335 }
Point { x: 481, y: 335 }
Point { x: 468, y: 601 }
Point { x: 335, y: 550 }
Point { x: 813, y: 790 }
Point { x: 468, y: 600 }
Point { x: 302, y: 714 }
Point { x: 582, y: 961 }
Point { x: 705, y: 961 }
Point { x: 468, y: 829 }
Point { x: 583, y: 474 }
Point { x: 312, y: 930 }
Point { x: 766, y: 961 }
Point { x: 963, y: 554 }
Point { x: 490, y: 335 }
Point { x: 576, y: 294 }
Point { x: 515, y: 425 }
Point { x: 624, y: 148 }
Point { x: 863, y: 827 }
Point { x: 695, y: 212 }
Point { x: 428, y: 930 }
Point { x: 789, y: 416 }
Point { x: 863, y: 674 }
Point { x: 468, y: 768 }
Point { x: 717, y: 798 }
Point { x: 863, y: 461 }
Point { x: 561, y: 417 }
Point { x: 582, y: 890 }
Point { x: 813, y: 816 }
Point { x: 789, y: 288 }
Point { x: 436, y: 550 }
Point { x: 863, y: 852 }
Point { x: 789, y: 384 }
Point { x: 301, y: 736 }
Point { x: 251, y: 816 }
Point { x: 542, y: 930 }
Point { x: 863, y: 581 }
Point { x: 328, y: 508 }
Point { x: 672, y: 357 }
Point { x: 863, y: 873 }
Point { x: 863, y: 495 }
Point { x: 440, y: 597 }
Point { x: 248, y: 930 }
Point { x: 879, y: 217 }
Point { x: 517, y: 366 }
Point { x: 495, y: 526 }
Point { x: 592, y: 549 }
Point { x: 863, y: 471 }
Point { x: 863, y: 822 }
Point { x: 527, y: 583 }
Point { x: 133, y: 868 }
Point { x: 720, y: 961 }
Point { x: 312, y: 533 }
Point { x: 669, y: 930 }
Point { x: 711, y: 930 }
Point { x: 717, y: 961 }
Point { x: 244, y: 673 }
Point { x: 702, y: 961 }
Point { x: 440, y: 816 }
Point { x: 863, y: 810 }
Point { x: 194, y: 597 }
Point { x: 429, y: 461 }
Point { x: 789, y: 213 }
Point { x: 215, y: 335 }
Point { x: 527, y: 745 }
Point { x: 863, y: 703 }
Point { x: 250, y: 268 }
Point { x: 813, y: 714 }
Point { x: 389, y: 335 }
Point { x: 402, y: 335 }
Point { x: 527, y: 366 }
Point { x: 420, y: 930 }
Point { x: 468, y: 828 }
Point { x: 546, y: 741 }
Point { x: 225, y: 293 }
Point { x: 77, y: 310 }
Point { x: 863, y: 213 }
Point { x: 582, y: 930 }
Point { x: 468, y: 726 }
Point { x: 963, y: 547 }
Point { x: 468, y: 848 }
Point { x: 527, y: 549 }
Point { x: 962, y: 115 }
Point { x: 813, y: 360 }
Point { x: 711, y: 745 }
Point { x: 867, y: 489 }
Point { x: 440, y: 699 }
Point { x: 863, y: 530 }
Point { x: 863, y: 794 }
Point { x: 789, y: 420 }
Point { x: 542, y: 425 }
Point { x: 617, y: 369 }
Point { x: 433, y: 335 }
Point { x: 774, y: 357 }
Point { x: 789, y: 250 }
Point { x: 514, y: 537 }
Point { x: 515, y: 549 }
Point { x: 353, y: 417 }
Point { x: 514, y: 366 }
Point { x: 542, y: 741 }
Point { x: 863, y: 653 }
Point { x: 789, y: 316 }
Point { x: 126, y: 800 }
Point { x: 694, y: 114 }
Point { x: 308, y: 930 }
Point { x: 389, y: 508 }
Point { x: 410, y: 589 }
Point { x: 438, y: 526 }
Point { x: 789, y: 418 }
Point { x: 311, y: 930 }
Point { x: 789, y: 491 }
Point { x: 438, y: 677 }
Point { x: 863, y: 631 }
Point { x: 863, y: 790 }
Point { x: 863, y: 294 }
Point { x: 250, y: 357 }
Point { x: 845, y: 790 }
Point { x: 865, y: 742 }
Point { x: 437, y: 369 }
Point { x: 188, y: 603 }
Point { x: 414, y: 357 }
Point { x: 255, y: 151 }
Point { x: 323, y: 742 }
Point { x: 863, y: 655 }
Point { x: 200, y: 310 }
Point { x: 789, y: 494 }
Point { x: 789, y: 387 }
Point { x: 410, y: 583 }
Point { x: 674, y: 673 }
Point { x: 323, y: 254 }
Point { x: 789, y: 337 }
Point { x: 468, y: 357 }
Point { x: 789, y: 229 }
Point { x: 863, y: 862 }
Point { x: 468, y: 547 }
Point { x: 789, y: 354 }
Point { x: 695, y: 528 }
Point { x: 461, y: 357 }
Point { x: 680, y: 930 }
Point { x: 700, y: 254 }
Point { x: 320, y: 201 }
Point { x: 242, y: 357 }
Point { x: 468, y: 874 }
Point { x: 789, y: 148 }
Point { x: 429, y: 736 }
Point { x: 406, y: 930 }
Point { x: 877, y: 816 }
Point { x: 194, y: 136 }
Point { x: 399, y: 335 }
Point { x: 576, y: 383 }
Point { x: 863, y: 595 }
Point { x: 863, y: 603 }
Point { x: 519, y: 768 }
Point { x: 533, y: 930 }
Point { x: 113, y: 800 }
Point { x: 234, y: 158 }
Point { x: 312, y: 254 }
Point { x: 542, y: 292 }
Point { x: 508, y: 474 }
Point { x: 94, y: 768 }
Point { x: 612, y: 383 }
Point { x: 468, y: 461 }
Point { x: 111, y: 597 }
Point { x: 542, y: 140 }
Point { x: 741, y: 73 }
Point { x: 789, y: 344 }
Point { x: 628, y: 930 }
Point { x: 320, y: 417 }
Point { x: 789, y: 450 }
Point { x: 286, y: 932 }
Point { x: 863, y: 623 }
Point { x: 527, y: 930 }
Point { x: 234, y: 768 }
Point { x: 709, y: 213 }
Point { x: 789, y: 221 }
Point { x: 262, y: 816 }
Point { x: 515, y: 930 }
Point { x: 508, y: 366 }
Point { x: 112, y: 862 }
Point { x: 863, y: 812 }
Point { x: 537, y: 930 }
Point { x: 392, y: 474 }
Point { x: 774, y: 172 }
Point { x: 194, y: 506 }
Point { x: 546, y: 550 }
Point { x: 542, y: 388 }
Point { x: 232, y: 394 }
Point { x: 709, y: 101 }
Point { x: 438, y: 333 }
Point { x: 863, y: 502 }
Point { x: 508, y: 383 }
Point { x: 328, y: 533 }
Point { x: 863, y: 512 }
Point { x: 863, y: 903 }
Point { x: 461, y: 369 }
Point { x: 332, y: 370 }
Point { x: 439, y: 370 }
Point { x: 267, y: 508 }
Point { x: 346, y: 930 }
Point { x: 301, y: 745 }
Point { x: 789, y: 164 }
Point { x: 674, y: 549 }
Point { x: 508, y: 388 }
Point { x: 795, y: 961 }
Point { x: 685, y: 114 }
Point { x: 709, y: 212 }
Point { x: 244, y: 546 }
Point { x: 824, y: 673 }
Point { x: 281, y: 508 }
Point { x: 221, y: 506 }
Point { x: 863, y: 510 }
Point { x: 598, y: 930 }
Point { x: 640, y: 930 }
Point { x: 680, y: 114 }
Point { x: 582, y: 898 }
Point { x: 582, y: 838 }
Point { x: 70, y: 310 }
Point { x: 468, y: 794 }
Point { x: 532, y: 741 }
Point { x: 225, y: 789 }
Point { x: 789, y: 283 }
Point { x: 789, y: 332 }
Point { x: 592, y: 383 }
Point { x: 789, y: 404 }
Point { x: 610, y: 172 }
Point { x: 863, y: 816 }
Point { x: 392, y: 714 }
Point { x: 460, y: 335 }
Point { x: 323, y: 930 }
Point { x: 863, y: 519 }
Point { x: 426, y: 335 }
Point { x: 259, y: 741 }
Point { x: 323, y: 597 }
Point { x: 186, y: 242 }
Point { x: 420, y: 335 }
Point { x: 589, y: 930 }
Point { x: 594, y: 741 }
Point { x: 863, y: 687 }
Point { x: 123, y: 559 }
Point { x: 674, y: 383 }
Point { x: 709, y: 714 }
Point { x: 366, y: 930 }
Point { x: 863, y: 838 }
Point { x: 678, y: 114 }
Point { x: 695, y: 357 }
Point { x: 302, y: 930 }
Point { x: 863, y: 907 }
Point { x: 789, y: 467 }
Point { x: 708, y: 930 }
Point { x: 508, y: 369 }
Point { x: 517, y: 446 }
Point { x: 863, y: 769 }
Point { x: 624, y: 383 }
Point { x: 389, y: 545 }
Point { x: 863, y: 706 }
Point { x: 863, y: 819 }
Point { x: 863, y: 891 }
Point { x: 863, y: 936 }
Point { x: 322, y: 789 }
Point { x: 664, y: 930 }
Point { x: 863, y: 850 }
Point { x: 696, y: 172 }
Point { x: 674, y: 550 }
Point { x: 138, y: 533 }
Point { x: 245, y: 930 }
Point { x: 789, y: 310 }
Point { x: 789, y: 435 }
Point { x: 596, y: 146 }
Point { x: 213, y: 549 }
Point { x: 863, y: 877 }
Point { x: 741, y: 212 }
Point { x: 704, y: 961 }
Point { x: 152, y: 394 }
Point { x: 948, y: 388 }
Point { x: 879, y: 400 }
Point { x: 610, y: 388 }
Point { x: 410, y: 697 }
Point { x: 687, y: 699 }
Point { x: 824, y: 583 }
Point { x: 225, y: 533 }
Point { x: 576, y: 370 }
Point { x: 878, y: 191 }
Point { x: 624, y: 370 }
Point { x: 789, y: 363 }
Point { x: 789, y: 176 }
Point { x: 789, y: 259 }
Point { x: 312, y: 508 }
Point { x: 225, y: 546 }
Point { x: 863, y: 607 }
Point { x: 877, y: 821 }
Point { x: 879, y: 304 }
Point { x: 119, y: 310 }
Point { x: 770, y: 213 }
Point { x: 658, y: 930 }
Point { x: 479, y: 930 }
Point { x: 789, y: 369 }
Point { x: 57, y: 529 }
